model,coupling,field,temperature,runtime_seconds,runtime_ratio_vs_model_1,transient_rmse_vs_model_1,steady_state_bias_vs_model_1,convergence_time,convergence_time_diff_vs_model_1,variance_mismatch_vs_model_1
model_2,1.0,0.0,1.2999999999999998,4.6889949589967725e-05,1.8438801258363757,0.02689786390212603,-0.00028633657685725266,2,1,0.002763999986922912
model_3,1.0,0.0,1.2999999999999998,0.0006895499303936957,27.11556364515313,0.02823147093057464,-0.00043980152082569813,2,1,0.003736687245416993
model_4,1.0,0.0,1.2999999999999998,0.11062298002652823,4350.0902883323015,0.0922795852629669,-0.07377348324414441,0,-1,0.07313743771701663
model_5,1.0,0.0,1.2999999999999998,0.00021550999954342843,8.474622142953931,0.012473918282515829,-1.2135481990502603e-06,1,0,0.0008431119517695383
model_1,1.0,0.0,2.0,2.410006709396839e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,0.0,2.0,4.331995733082294e-05,1.797503598720884,0.01587314056022412,-7.370777801208995e-06,1,0,0.001000229001865685
model_3,1.0,0.0,2.0,0.0006603199988603591,27.399093798606884,0.02081211056291524,-5.531027562114543e-05,1,0,0.0019694897596501996
model_4,1.0,0.0,2.0,0.11629468984901906,4825.492368779526,0.05841320735390747,-0.01594969915264031,3,2,0.019407917851193557
model_5,1.0,0.0,2.0,0.00020786006934940817,8.624875131631066,0.007352552406013465,-1.900855432686773e-08,1,0,0.00029357864676033524
model_1,1.0,0.4,0.6,2.932003699243068e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,0.4,0.6,6.0799997299909585e-05,2.0736671415389356,0.21009565927294166,0.3102234183913465,4,3,0.007444566831950695
model_3,1.0,0.4,0.6,0.0008464399725198746,28.8689940172447,0.19477581654839435,0.3099038845119827,4,3,0.005904399968509982
model_4,1.0,0.4,0.6,0.13062681006267665,4455.206181915784,0.25793305501123376,-0.14513747566000057,4,3,0.10586962016381704
model_5,1.0,0.4,0.6,0.0002441699616611004,8.327750804821147,0.055899402574708004,-0.06229105931308054,1,0,1.9010530576916982e-08
model_1,1.0,0.4,1.2999999999999998,2.8999894857406614e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,0.4,1.2999999999999998,5.551008507609368e-05,1.9141478046399305,0.07486426477011375,0.08113405640902943,3,2,0.0022916622769649647
model_3,1.0,0.4,1.2999999999999998,0.0008363400120288135,28.839415319990756,0.08160262472769657,0.080539405402761,4,3,0.003193255107687358
model_4,1.0,0.4,1.2999999999999998,0.11990741007030009,4134.753269275236,0.10534037515766989,0.3279795400475197,8,7,0.03975794221222348
model_5,1.0,0.4,1.2999999999999998,0.0002622099593281746,9.041755517303395,0.0467935035961339,0.05241697280965929,1,0,8.640598806959999e-09
model_1,1.0,0.4,2.0,3.0279997736215596e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,0.4,2.0,5.6330021470785136e-05,1.8603046790658473,0.047038837299214036,-0.0012539988563527726,2,1,0.00093964051950317
model_3,1.0,0.4,2.0,0.0007545399013906717,24.91875686266066,0.06258174324237555,-0.0013830803689193205,3,2,0.0019013959608910939
model_4,1.0,0.4,2.0,0.11735962005332111,3875.8133694625817,0.09867150901402837,0.30637121110986143,7,6,0.014769412978054746
model_5,1.0,0.4,2.0,0.00022210008464753625,7.334877848484753,0.012790093670603292,0.014341540250111029,1,0,3.150345110575312e-09
