model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_2,0.1,-0.4,0.6,4,3,0.5,8,-0.45848140827174655,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,9,-0.45848140978003,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,10,-0.45848140991238934,4.3800100684165955e-05
model_3,0.1,-0.4,0.6,4,3,0.5,0,0.0,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,1,-0.31489308520232134,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,2,-0.4140082469820026,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,3,-0.44480164068311384,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,4,-0.4542948306782271,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,5,-0.4572052587330813,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,6,-0.4580936795351333,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,7,-0.4583639232440242,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,8,-0.4584458898334212,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,9,-0.4584706911632355,0.0006350995972752571
model_3,0.1,-0.4,0.6,4,3,0.5,10,-0.4584781804634512,0.0006350995972752571
model_4,0.1,-0.4,0.6,4,3,0.5,0,0.0,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,1,-0.4764553279766515,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,2,-0.6437064849154489,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,3,-0.7006245835133406,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,4,-0.7196746093906352,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,5,-0.7259898691070839,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,6,-0.728071059776294,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,7,-0.7287542921625331,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,8,-0.7289780245335397,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,9,-0.7290511654216537,0.1048789001069963
model_4,0.1,-0.4,0.6,4,3,0.5,10,-0.7290750492749173,0.1048789001069963
model_5,0.1,-0.4,0.6,4,3,0.5,0,0.0,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,1,-0.519774891491875,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,2,-0.5198936630484811,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,3,-0.519893682767173,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,4,-0.5198936827706088,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,5,-0.5198936827706093,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,6,-0.5198936827706093,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,7,-0.5198936827706093,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,8,-0.5198936827706093,0.00021299999207258224
model_5,0.1,-0.4,0.6,4,3,0.5,9,-0.5198936827706093,0.00021299999207258224
